Title,Url,Npub,Desc,Source,Date,大分類,小分類,技術・プラットフォーム,Picture,Featured
Nostr Grid Art,https://ngrid-art.mono3.workers.dev/,,カスタム絵文字こねこねこねこねこねこね,https://github.com/TsukemonoGit/ngrid-art,May.2026,アプリケーション,Webアプリ,"Nostr, Svelte, TypeScript",https://raw.githubusercontent.com/TsukemonoGit/ngrid-art/refs/heads/main/img/img1.png,
profileを修正するやつ,https://nos-profile-arekore.vercel.app/,,Nostrのプロフィールのcontentの内容を修正するツール,https://github.com/TsukemonoGit/nos-profile-arekore,Mar.2024,アプリケーション,Webアプリ,"Nostr, SolidJS, Bootstrap, TypeScript, Vercel",,
Nostr Bookmark Recovery Tool,https://nostr-bookmark-recovery-tool.vercel.app/,,Nostrの消失しがちなブックマークを簡単に（何処かのリレーに古いデータが残っていれば）リカバリーできるツール,https://github.com/TsukemonoGit/nos-bookmark-areyatu,Apr.2024,アプリケーション,Webアプリ,"Nostr, SolidJS, TypeScript, Vercel",,
🏍️ Moto Log,https://nostr-moto-log.vercel.app/,,バイクの給油・整備・点検を簡単に記録できる、PWA ウェブアプリ。\nデータは Nostr リレーに kind 30078 (Parameterized Replaceable Event) として保存されるため、特定のサーバーに依存せず、どこからでもアクセスできます。,https://github.com/TsukemonoGit/moto-log,Feb.2026,アプリケーション,Webアプリ,"Nostr, Svelte, TypeScript",,true
NostViewstr(のすとびうあ),https://nostviewstr.vercel.app/,,Nostr上の様々なデータを閲覧、編集できるアプリ\nモバイル通信環境のために、画像非表示などの通信量を節約できる設定がある,https://github.com/TsukemonoGit/NostViewstr,Nov.2023,アプリケーション,Webアプリ,"Nostr, Svelte, SvelteKit, TypeScript, Vercel",,
shosai,https://shosai.lumilumi.app/,,"Nostrのブックマーク（kind:10003,30003,30001）を整理整頓するためのツール",https://github.com/TsukemonoGit/shosai,Aug.2025,アプリケーション,Webアプリ,"Nostr, Svelte, SvelteKit, TypeScript, Vercel",,
最自由研究2022,https://tsukemonogit.github.io/Freest2022/,,ゲームとカーソルなど作成したことを提出,https://github.com/TsukemonoGit/Freest2022,Aug.2022,記事・出版物,記事,html,https://tsukemonogit.github.io/Freest2022/images/logo2.png,
nostr-iroiro-bot,https://tsukemonogit.github.io/iroirotest/,npub1wgpfshr7xjnur3ytj0vg922nc5jceu3xyp8vjklvanvrvrre995s5lrecv,Nostr関連の情報を定期的に投稿するBotとそれ用のサイト,https://github.com/TsukemonoGit/nostr-iroiro-bot,Feb.2024,Bot,自動投稿Bot,"Nostr, Raspberry Pi, JavaScript, Node.js, GitHub Pages",,
Luminostr,https://tsukemonogit.github.io/luminostr/,,"フォローリストが飛んだ時、リレーリストが上書きされたとき、プロフィールが消えたとき、などなどにお役立ち\n特定のkindの置換可能（replaceable,addressable）イベントをいろんなリレーから探しだして、特定の時点でのイベントで上書きする（現在時刻で再書込みする）また、手持ちのローカルJSONファイルで上書きする バックアップツール",https://github.com/TsukemonoGit/luminostr,May.2024,アプリケーション,Webアプリ,"Nostr, SolidJS, TypeScript, GitHub Pages",,
NAKE,https://tsukemonogit.github.io/nake-website/,,NOSTRの hexid⇔NIP-19 (bech32-encoded entities)相互変換可能なウェブ拡張機能,https://github.com/TsukemonoGit/nake,Jun.2024,アプリケーション,拡張機能,"Nostr, SolidJS, TypeScript, WebExtension, WXT",https://raw.githubusercontent.com/TsukemonoGit/nake/main/contentsample.png,
